business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score
AFC URGENT CARE SEMINOLE,Seminole,FL,37,1.97,24.32,-0.1622,-0.2973,-0.3243,-0.3514,-0.3243,-0.1622
AFC Urgent Care,Clearwater,FL,38,3.74,65.79,0.2632,0.2895,0.0789,0.1579,0.1316,0.2632
AFC Urgent Care,Havertown,PA,20,2.9,45.0,-0.05,0.1,-0.1,-0.05,-0.1,-0.1
AFC Urgent Care,Narberth,PA,49,3.37,57.14,0.1837,0.1633,-0.0204,0.1224,-0.0408,0.0408
AFC Urgent Care,Phoenixville,PA,25,3.68,64.0,0.28,0.36,0.12,0.16,0.0,0.08
AFC Urgent Care,St. Petersburg,FL,62,3.47,58.06,0.2097,0.1935,0.0968,0.1774,0.0323,0.1774
AFC Urgent Care - Garden City,Garden City,ID,26,3.92,73.08,0.1923,0.5,-0.1154,0.0769,-0.0769,0.0769
AFC Urgent Care - Pinellas Park,Pinellas Park,FL,54,2.65,37.04,0.0,0.0,-0.037,-0.1111,-0.0556,-0.0185
AFC Urgent Care - West Chester,West Chester,PA,21,3.81,71.43,0.381,0.381,0.0476,0.2381,0.0476,0.0952
AFC Urgent Care Downingtown,Downingtown,PA,26,3.42,61.54,0.3077,0.3077,0.0385,-0.0769,-0.1154,0.0385
AFC Urgent Care South Philadelphia,Philadelphia,PA,98,3.33,60.2,0.2653,0.3061,0.1122,0.1122,-0.0204,0.2041
AFC Urgent Care Tyrone,St. Petersburg,FL,28,2.43,35.71,-0.25,-0.1786,-0.4286,-0.3929,-0.3571,-0.2857
AVA Wellness,Philadelphia,PA,32,3.56,59.38,0.0,0.2188,-0.0938,0.0312,0.0625,0.0625
AZ Core Nutrition,Tucson,AZ,22,3.68,68.18,0.0455,0.3636,0.1364,0.0455,0.0909,-0.0909
Ability Prosthetics & Orthotics,Reno,NV,21,5.0,100.0,0.3333,0.5714,0.0476,0.2381,0.3333,0.1429
Abington - Lansdale Hospital,Lansdale,PA,33,2.12,27.27,-0.2727,-0.1212,-0.2121,-0.3939,-0.3636,-0.2121
Abington Aesthetic & Laser Medical Center,Philadelphia,PA,30,4.7,93.33,0.5667,0.2667,0.2333,0.1667,0.2667,0.1333
Abington Health Center - Blue Bell,Abington,PA,31,3.23,54.84,0.1935,0.2258,0.0,0.0323,-0.129,-0.0645
Abington Pediatric Associates,Abington,PA,20,3.45,60.0,0.05,0.0,-0.15,0.1,-0.05,-0.05
Abington Primary Women's Healthcare Group,Willow Grove,PA,44,1.89,11.36,-0.5909,-0.3864,-0.1591,-0.4318,-0.3864,-0.3636
About Face Skin Care,Philadelphia,PA,106,4.68,91.51,0.5943,0.5,0.066,0.1226,0.3679,0.217
Absolute Dental,Reno,NV,96,2.43,35.42,-0.1667,-0.1979,-0.3125,-0.1354,-0.2188,-0.2292
Absolute Dental,Sparks,NV,75,2.55,37.33,-0.1467,-0.0667,-0.24,-0.2667,-0.16,-0.1333
Absolute Dental - Reno,Reno,NV,64,2.83,46.88,-0.1094,0.1875,-0.2188,-0.25,-0.1875,-0.1562
Academic Alliance in Dermatology,Tampa,FL,86,2.93,46.51,-0.0814,0.0,-0.1744,-0.093,-0.1163,-0.093
Accent On Vision,Tucson,AZ,80,3.48,58.75,0.1875,0.1625,0.075,-0.1125,-0.0375,0.0625
Acne Specialists of Nashville,Nashville,TN,28,5.0,100.0,0.9643,0.1429,0.0357,0.3571,0.7143,0.1429
Action Spine & Joint,Nashville,TN,50,4.56,88.0,0.44,0.48,-0.02,0.12,0.04,0.2
Active Health Spine & Sport,Reno,NV,30,5.0,100.0,0.4,0.2667,0.1,0.2,0.3,0.5
Ada Vision Center,Boise,ID,37,4.38,89.19,0.2973,0.6486,0.0811,0.2432,0.2973,0.2703
Adagio Massage Co & Spa,Nashville,TN,109,3.88,72.48,0.0459,0.211,0.0275,0.1376,0.0092,0.2294
Adler Fit,Tucson,AZ,21,5.0,100.0,0.1905,0.0952,0.0,0.0952,0.1905,0.0952
Adlington Eye Center,Reno,NV,45,4.56,88.89,0.3556,0.5778,0.1778,0.1778,0.2444,0.2222
"Adobe Gastroenterology, PC",Tucson,AZ,31,3.48,61.29,0.0968,0.0645,-0.0645,-0.0968,0.0645,0.0323
Adrian King Massage Arts,Philadelphia,PA,27,4.85,96.3,0.1111,0.2222,0.0741,0.1111,0.2222,0.1111
"Adrian Lo, MD",Philadelphia,PA,24,4.67,91.67,0.5,0.75,0.0417,0.1667,0.5,0.375
Advanced Chiropractic Group,Santa Barbara,CA,28,4.61,89.29,0.3929,0.4643,0.0714,0.0714,0.2143,0.2857
Advanced Chiropractic of Philadelphia,Philadelphia,PA,79,4.46,86.08,0.3924,0.3291,0.1013,0.1646,0.0759,0.2785
Advanced Dental Esthetics,Abington,PA,22,2.82,40.91,-0.1818,-0.1818,-0.2273,-0.0909,-0.2273,-0.1364
Advanced Dentistry of Center City,Philadelphia,PA,55,4.04,74.55,0.1818,0.3636,0.0545,0.2,0.0909,0.2545
Advanced Dentistry of Collegeville,Collegeville,PA,30,2.53,36.67,-0.1667,-0.0333,-0.3333,-0.1,-0.2667,-0.2333
Advanced ENT Sinus Center,Reno,NV,22,3.77,68.18,0.1364,0.2727,-0.0909,0.0909,0.1364,0.2273
Advanced Family Smiles - Philadelphia Dentist,Philadelphia,PA,31,3.1,54.84,0.0323,0.2258,-0.0645,0.0645,-0.2258,0.2258
Advanced Health Chiropractic,Reno,NV,59,4.75,93.22,0.3051,0.4915,0.0678,0.1186,0.1695,0.2881
Advanced Podiatry,Tampa,FL,22,4.59,86.36,0.4091,0.5455,0.0,0.0909,0.2273,0.2273
Advanced Skin Care Solutions,Philadelphia,PA,102,4.7,93.14,0.5098,0.2549,0.2941,0.098,0.3137,0.2451
Advanced Ultrasound Services,Tampa,FL,21,5.0,100.0,0.0952,0.2381,0.1905,0.1905,0.7143,0.2857
Advanced Urgent Care,Montgomeryville,PA,20,1.2,5.0,-0.8,-0.5,-0.2,-0.35,-0.35,-0.55
Advanced Urgent Care,Philadelphia,PA,35,1.89,20.0,-0.4857,-0.1429,-0.2857,-0.2857,-0.3714,-0.4571
Advanced Vision Care and Dry Eye Spa,Tucson,AZ,55,3.55,67.27,0.1091,0.3636,0.0182,0.0,-0.0545,0.1273
AdventHealth Carrollwood,Tampa,FL,25,3.36,60.0,0.24,0.2,-0.04,0.04,0.04,0.28
AdventHealth Centra Care Brandon,Riverview,FL,51,1.75,13.73,-0.549,-0.4118,-0.2745,-0.4902,-0.3529,-0.2549
AdventHealth Centra Care South Tampa,Tampa,FL,30,3.17,53.33,0.1667,0.1,0.0,0.0667,-0.1333,0.0667
AdventHealth Centra Care Temple Terrace,Temple Terrace,FL,26,2.19,26.92,-0.1538,-0.3077,-0.0769,-0.5,-0.3462,-0.1538
AdventHealth Centra Care Wesley Chapel,Wesley Chapel,FL,30,2.13,26.67,-0.2667,-0.2333,-0.1,-0.2333,-0.2667,-0.1
AdventHealth North Pinellas,Tarpon Springs,FL,30,3.37,60.0,0.1333,0.1667,-0.1,-0.1333,-0.1333,0.0
AdventHealth Tampa,Tampa,FL,85,2.04,23.53,-0.2941,-0.2588,-0.2353,-0.3294,-0.2118,-0.3529
AdventHealth Wesley Chapel,Wesley Chapel,FL,50,2.84,46.0,-0.22,0.02,-0.1,-0.18,-0.12,-0.08
Advocare Fairmount Pediatrics and Adolescent Medicine,Philadelphia,PA,27,3.7,62.96,0.037,0.1111,0.037,0.2593,0.3333,0.1852
Advocare Society Hill Pediatrics,Philadelphia,PA,42,3.86,73.81,0.4286,0.381,0.0238,0.2381,0.3095,0.2381
Advocare The Women's Group For OB/GYN,Voorhees Township,NJ,27,1.7,11.11,-0.5926,-0.4444,-0.1852,-0.5926,-0.2593,-0.4444
Aegis Labs,Nashville,TN,40,1.15,2.5,-0.025,-0.1,-0.2,-0.65,-0.175,-0.075
Aesthetics Med Spa,Reno,NV,34,4.68,91.18,0.5,0.5,-0.0882,0.0588,0.1176,0.1176
Affinity Eye Care,Tucson,AZ,46,3.83,71.74,0.3478,0.5217,0.1087,0.0435,0.1304,0.2826
Afton Family Dental,Philadelphia,PA,27,3.63,66.67,0.2222,0.2593,0.0741,0.2222,0.037,0.2222
Ageless Aesthetics and Salt Lounge,Indianapolis,IN,27,4.48,85.19,0.4444,0.2963,0.0741,0.1111,0.1481,0.2222
Ahhh! Massage,Sparks,NV,96,3.41,58.33,-0.0625,-0.0104,-0.1042,-0.0521,-0.1042,0.1042
"Alan Moelleken, MD - The Spine and Orthopedic Center",Santa Barbara,CA,27,3.67,70.37,0.2593,0.4444,0.0,-0.1111,0.1481,0.0741
Aland Family Dentistry,Reno,NV,25,4.64,92.0,0.32,0.8,0.12,0.12,0.36,0.64
Alberta Momentum Massage Therapy South,Edmonton,AB,45,4.44,88.89,0.2,0.4667,0.1778,0.2444,0.1778,0.2444
Albertsons,Carpinteria,CA,62,3.06,45.16,-0.0161,0.1129,0.0806,0.0,-0.0161,0.0968
Alchemy Wellness Spa,Santa Barbara,CA,60,4.15,76.67,0.1833,0.2167,0.0,0.1,-0.0333,0.15
"Alejandro Roberto Soffici, MD",Santa Barbara,CA,26,3.38,53.85,0.0385,0.1923,-0.0385,0.1538,0.1538,0.0769
Alford Pediatric & General Dentistry,Reno,NV,35,4.91,97.14,0.3429,0.8286,0.1714,0.2286,0.4286,0.7143
AlignLife - Chiropractic & Natural Health Center,Reno,NV,33,4.82,96.97,0.3636,0.6667,0.0606,0.1515,0.2424,0.5455
Alki Art & Wellness Institute,Santa Barbara,CA,38,5.0,100.0,0.5,0.2632,0.1053,0.1316,0.3421,0.2895
All About You Dental - Boise Dentist,Boise,ID,27,4.74,92.59,0.3704,0.6667,0.1852,0.2593,0.1852,0.5926
All American Healthcare New Orleans,New Orleans,LA,25,4.4,84.0,0.4,0.68,0.08,0.12,0.08,0.12
All Florida Orthopaedic Associates,Saint Petersburg,FL,42,2.17,28.57,-0.3571,-0.1667,-0.2143,-0.3333,-0.2381,-0.2381
All My Relations,Indianapolis,IN,20,3.5,60.0,0.0,0.25,0.0,0.05,-0.05,0.0
AllVitae Health & Chiropractic,Tampa,FL,67,5.0,100.0,0.4179,0.2537,0.0746,0.0746,0.1642,0.2985
Allergy & Asthma Associates,Sparks,NV,25,2.52,36.0,-0.2,-0.16,-0.12,-0.16,-0.24,-0.16
Allevia Spa,Blue Bell,PA,45,4.07,77.78,0.0222,0.1778,0.2667,0.0889,0.0222,0.2222
Allied Chiropractic and Wellness,Metairie,LA,26,4.85,96.15,0.6538,0.7308,0.0769,0.1538,0.1923,0.1538
Allure Medical,Tucson,AZ,23,4.43,86.96,0.5652,0.3478,0.1739,0.3043,0.3043,0.2609
Aloe Dermatology,Santa Barbara,CA,29,3.69,65.52,0.1724,0.2759,-0.1034,0.1379,0.2759,0.1724
Alpha Dental Excellence,Langhorne,PA,26,1.42,7.69,-0.2692,-0.2692,-0.7308,-0.3462,-0.4231,-0.4231
Alpine Family Medicine,Sparks,NV,25,1.88,20.0,-0.52,-0.4,-0.2,-0.08,-0.32,-0.28
Alpine Women's Health,Reno,NV,22,3.86,63.64,0.3182,0.3182,-0.0455,0.0455,0.2727,0.2273
Alta Orthopaedics,Santa Barbara,CA,71,3.58,61.97,0.1268,0.1408,-0.0423,-0.0563,0.0845,0.0423
Alvernon Optical,Tucson,AZ,50,3.48,60.0,-0.04,0.26,0.1,0.0,0.02,0.04
Amara Dental - Cherry Hill,Cherry Hill,NJ,27,2.89,44.44,-0.037,0.2222,-0.2222,-0.1852,-0.2222,0.0741
America's Best Contacts & Eyeglasses,Abington,PA,22,3.45,59.09,0.0455,0.1818,0.0909,-0.0455,0.0455,0.0
America's Best Contacts & Eyeglasses,Boise,ID,31,3.23,54.84,0.0645,0.2903,-0.0968,-0.0645,0.0968,-0.0968
America's Best Contacts & Eyeglasses,Brandon,FL,24,2.25,25.0,-0.0417,0.0,-0.2083,-0.25,-0.4167,-0.0417
America's Best Contacts & Eyeglasses,Deptford,NJ,31,3.06,48.39,0.0645,0.129,0.0323,0.0968,-0.0968,0.0
America's Best Contacts & Eyeglasses,Fairless Hills,PA,48,2.15,25.0,-0.125,-0.1458,-0.25,-0.2292,-0.2708,-0.0833
America's Best Contacts & Eyeglasses,Harahan,LA,36,3.19,50.0,-0.0556,0.1667,0.0,0.0556,-0.0833,-0.0278
America's Best Contacts & Eyeglasses,King Of Prussia,PA,51,2.69,41.18,-0.0784,-0.098,-0.0196,-0.098,0.0196,0.0196
America's Best Contacts & Eyeglasses,Largo,FL,36,2.14,27.78,-0.1111,-0.1944,-0.1667,-0.0833,-0.3611,-0.0833
America's Best Contacts & Eyeglasses,Metairie,LA,24,2.58,33.33,-0.125,-0.1667,-0.0417,-0.125,0.0,0.0
America's Best Contacts & Eyeglasses,Moorestown,NJ,25,2.48,32.0,-0.28,-0.08,0.0,-0.32,-0.2,-0.16
America's Best Contacts & Eyeglasses,Philadelphia,PA,109,2.66,37.61,-0.055,0.0183,-0.156,-0.0826,-0.1376,-0.0642
America's Best Contacts & Eyeglasses,Springfield,PA,25,2.32,32.0,-0.08,-0.16,0.04,-0.16,-0.28,0.0
America's Best Contacts & Eyeglasses,Tampa,FL,27,1.78,14.81,-0.2963,-0.4444,-0.2593,-0.2963,-0.2963,-0.2222
America's Best Contacts & Eyeglasses,Tucson,AZ,68,3.19,55.88,0.0588,0.1912,0.0147,0.0,-0.0441,-0.0147
American Dental Care,Doylestown,PA,25,2.04,28.0,-0.12,-0.2,-0.44,-0.04,-0.32,-0.28
American Dental Solutions,Pottstown,PA,31,2.23,22.58,-0.2903,-0.0323,-0.5484,-0.3226,-0.5484,-0.4839
American Family Care,Nashville,TN,28,2.93,50.0,-0.0714,0.1071,-0.25,0.0714,-0.25,-0.0357
American Family Care Nashville South,Nashville,TN,32,2.03,21.88,-0.1562,-0.0938,-0.2188,-0.2812,-0.25,-0.1875
American Family Care Providence,Mt Juliet,TN,26,2.81,42.31,-0.1154,0.0385,-0.0769,-0.2308,-0.2308,-0.0385
American Family Care Smyrna,Smyrna,TN,39,2.79,43.59,-0.0256,0.1795,-0.1795,-0.1538,-0.1282,-0.0769
American Vision at the Court,King of Prussia,PA,24,4.12,75.0,0.2083,0.5833,0.0417,0.0,-0.125,0.0
Ameriflex,Cherry Hill,NJ,51,1.18,3.92,-0.3529,-0.0784,-0.6078,-0.2745,-0.1961,-0.0588
Amrita Yoga & Wellness,Philadelphia,PA,104,4.5,84.62,0.0192,0.25,0.1154,0.1346,0.1058,0.2692
Ananda Massage Therapy,Reno,NV,29,5.0,100.0,0.1379,0.3103,0.0,0.1724,0.1379,0.0345
Anderson Hospital,Maryville,IL,27,2.26,29.63,-0.2593,-0.1852,-0.1481,-0.1481,-0.1852,-0.2593
"Aneesh Garg, DO - Hughston Clinic",Nashville,TN,20,3.7,65.0,0.15,0.2,-0.15,-0.1,0.4,-0.05
Ang Thai Massage NVMT 7084,Reno,NV,32,4.97,100.0,0.125,0.2812,0.0938,0.0938,0.125,0.0938
"Anjali Sahai, MD",Nashville,TN,21,4.33,80.95,0.4762,0.1905,-0.0476,0.0476,0.5238,0.0476
Anshul Gambhir MD - Couture,Exton,PA,65,3.46,60.0,0.1385,0.2769,0.0,-0.0308,0.1385,0.1385
Anthropologie,Philadelphia,PA,158,4.03,75.95,0.0316,0.2152,0.1962,0.0949,0.0253,0.1772
AppleOne Employment Services,Santa Barbara,CA,22,4.45,86.36,0.3182,0.4545,0.0,0.2273,0.4091,0.1364
Aquarius Wellness Center For Healing Arts,Richmond Heights,MO,79,4.78,94.94,0.3418,0.3418,0.038,0.2911,0.1139,0.3165
Archer Chiropractic,New Orleans,LA,35,4.8,94.29,0.4,0.6571,0.2286,0.2,0.1429,0.3714
Ardmore Eye Care,Ardmore,PA,23,4.43,86.96,0.3043,0.6087,0.2609,0.0435,0.087,0.2174
Arizona Gastroenterology,Tucson,AZ,27,2.26,29.63,-0.4444,-0.2222,-0.3704,-0.3704,-0.1481,-0.3704
Arizona Oral and Maxillofacial Surgeons,Tucson,AZ,22,4.14,72.73,0.1818,0.4091,0.0,0.2727,0.0455,0.1818
Arizona Primary Eye Care,Tucson,AZ,40,3.4,57.5,0.075,0.325,-0.125,0.025,0.025,0.0
Arlene Thompson Clinical Hypnotherapist,Meridian,ID,24,4.83,95.83,0.1667,0.25,0.0,0.125,0.3333,0.0833
Arnett Gunson Facial Reconstruction,Santa Barbara,CA,35,4.11,77.14,0.4286,0.4857,0.0571,0.2286,0.3143,0.1714
Arnold Smiles,Arnold,MO,26,5.0,100.0,0.1923,0.7308,0.0769,0.2308,0.1538,0.6923
AromaG's Botanica - The Aromagregory Company,Nashville,TN,27,4.78,92.59,0.0,0.4815,0.1852,0.1111,0.037,0.1111
Art & Eyes,New Orleans,LA,25,4.44,88.0,0.08,0.52,0.12,0.12,0.04,0.04
Artisan Optics,Boise,ID,25,3.28,52.0,-0.04,0.04,-0.12,-0.12,-0.04,0.04
Artistic Lipo & Plastic Surgery,Tampa,FL,22,3.64,63.64,0.0455,0.1364,-0.0455,0.1364,0.1818,-0.0455
Artistre Salon & Spa,Mount Laurel,NJ,20,4.8,95.0,0.25,0.45,0.0,0.2,0.05,0.1
Artiva Hair Salon,Philadelphia,PA,163,4.19,77.3,0.0982,0.0982,0.2577,0.092,0.0859,0.0491
Arviv Medical Aesthetics,Tampa,FL,39,4.38,82.05,0.359,0.4359,0.1538,0.0769,0.2821,0.2308
Ascension Saint Thomas Hospital,Nashville,TN,66,2.68,42.42,-0.0758,-0.0152,-0.0606,-0.1667,-0.2121,-0.0303
Asia Nail 2 & Spa,Philadelphia,PA,27,3.67,66.67,0.0,0.4074,-0.0741,0.0,-0.1111,0.2963
Aspen Dental,Nashville,TN,34,1.91,23.53,-0.3824,-0.0588,-0.5588,-0.2353,-0.3824,-0.4412
Aspen Dental,Saint Petersburg,FL,30,2.07,26.67,-0.2667,-0.2333,-0.4667,-0.2,-0.4333,-0.4667
Aspen Dental,Tampa,FL,48,2.23,29.17,-0.25,-0.0625,-0.4375,-0.2292,-0.1667,-0.25
Aspen Dental,Tucson,AZ,80,2.52,35.0,-0.1625,0.0,-0.3,-0.1625,-0.25,-0.175
Aspen Dental - Pinellas Park,Pinellas Park,FL,34,2.56,38.24,-0.0294,-0.0588,-0.1471,-0.1176,-0.2059,-0.2353
Aspen Dental - Ruskin,Ruskin,FL,22,1.5,9.09,-0.4545,-0.3636,-0.4091,-0.2727,-0.5,-0.5455
Aspen Pediatrics,Reno,NV,30,4.07,80.0,0.4333,0.2667,-0.0333,0.2667,0.0,0.4667
Assisted Home Health & Hospice,Santa Barbara,CA,27,4.85,96.3,0.4815,0.6296,0.1111,0.1852,0.1481,0.1481
Associated Dental Care - Tucson N Campbell,Tucson,AZ,33,2.18,30.3,-0.1212,-0.1212,-0.4242,-0.2727,-0.3333,-0.1818
Associated Hand Surgeons,Santa Barbara,CA,37,3.19,51.35,-0.0811,0.0541,-0.1351,-0.1892,-0.1081,-0.0541
Associates In Oral & Maxillofacial Surgery,Tucson,AZ,27,3.85,74.07,0.1481,0.4074,0.0741,0.2222,0.2963,0.2222
AtlantiCare Urgent Care - Mount Laurel,Mount Laurel,NJ,31,3.71,64.52,0.3226,0.3871,0.0968,0.2258,0.0645,0.2581
Atlantic Physical Therapy,Philadelphia,PA,25,4.8,92.0,0.4,0.44,0.16,0.12,0.2,0.36
Atlas Chiropractic,Philadelphia,PA,39,4.82,94.87,0.2821,0.2821,0.0769,0.2564,0.1538,0.2051
Au Bon Pain,Nashville,TN,65,2.31,21.54,-0.1692,-0.2,-0.2154,-0.1846,-0.0615,-0.1077
Audubon Dental Group,New Orleans,LA,126,4.39,84.13,0.1667,0.5635,0.1667,0.2143,0.1825,0.3889
Aurora Medical Spa,Des Peres,MO,40,4.38,85.0,0.25,0.375,0.0,0.075,0.25,0.025
Auto Dentist,Goleta,CA,43,5.0,100.0,0.093,0.3023,0.5581,0.186,0.186,0.0698
Avalon Massage,Reno,NV,35,4.46,88.57,0.0857,0.2571,0.0571,0.0571,-0.0286,0.0571
Avia Spa,Indianapolis,IN,42,3.79,69.05,0.1429,0.4048,0.1667,0.1905,0.0,0.1429
Awaken The Glow with Jourdan Rystrom,Nashville,TN,27,5.0,100.0,0.1111,0.037,0.0741,0.2963,0.3704,0.2593
Axiom,Meridian,ID,26,2.77,34.62,-0.0385,0.0385,-0.2692,-0.0385,-0.1154,0.0
Back In Touch Wellness Center,Nashville,TN,24,4.67,87.5,0.0417,0.2083,0.0417,0.0,0.1667,0.1667
Back To Balance Massage,Santa Barbara,CA,21,5.0,100.0,0.2381,0.2857,0.0,0.0476,0.0952,0.0476
"Back to Health Chiropractic and Wellness Center: Randy Mantz, DC",Reno,NV,22,4.91,95.45,0.5455,0.4091,0.0455,0.2727,0.2273,0.3182
Backiel & Associates,Philadelphia,PA,81,3.36,58.02,0.0494,0.2099,-0.1481,0.0617,0.0,0.2099
Bailey Institute,Metairie,LA,30,4.07,76.67,0.1,0.2,0.1333,0.0667,0.0667,0.1667
Baker Cosmetic & Family Dentistry of Clearwater,Clearwater,FL,28,4.21,78.57,0.1071,0.6786,-0.0714,0.0714,0.0357,0.3929
Bala Eye Care,Bala Cynwyd,PA,31,4.23,80.65,0.4516,0.6129,0.0645,0.1935,0.1613,0.2581
Balance Chiropractic Health Center & Spa,Philadelphia,PA,118,3.98,76.27,0.0847,0.1525,0.0763,0.0763,0.0,0.0593
Balance Spa & Fitness,Philadelphia,PA,46,3.91,65.22,0.1304,0.1087,0.0652,0.0435,-0.0217,0.2609
Ballwin Dental Care,Ballwin,MO,23,4.48,86.96,0.4348,0.4783,0.087,0.2609,0.1739,0.5652
Banner Health - University Medical Center Tucson Campus,Tucson,AZ,231,1.99,21.65,-0.4156,-0.2294,-0.3463,-0.3723,-0.2597,-0.2424
Banner University Medical Center - South,Tucson,AZ,80,1.86,17.5,-0.4,-0.2875,-0.3,-0.4125,-0.2625,-0.275
Banner Urgent Care,Tucson,AZ,103,2.24,29.13,-0.2524,-0.2621,-0.1845,-0.3495,-0.3592,-0.1553
Barefoot Doctor Community Acupuncture Clinic,Philadelphia,PA,34,4.76,97.06,0.6471,0.2647,0.2059,0.1471,0.2353,0.2353
Barnes-Jewish West County Hospital,Saint Louis,MO,22,2.27,31.82,-0.1818,-0.2273,-0.1818,-0.0909,-0.1364,-0.2273
Barnet Dulaney Perkins Eye Center,Tucson,AZ,48,3.81,68.75,0.1667,0.375,-0.0833,0.1458,0.0625,0.1042
Barry Family Chiropractic,Santa Barbara,CA,28,4.71,92.86,0.2857,0.4643,0.0714,0.1429,0.1071,0.1429
"Barry Kusman, MD, FACS - Facial Artistry & Aesthetics",Tucson,AZ,24,4.83,95.83,0.625,0.6667,0.0,0.0,0.2083,0.125
Basic Kneads,Nashville,TN,47,4.81,95.74,0.1277,0.234,0.0638,0.1702,0.1915,0.1277
Battle Born Eye Care,Reno,NV,22,4.91,95.45,0.8636,0.7273,0.1364,0.0909,0.2727,0.3182
Bay Dermatology & Cosmetic Surgery,Palm Harbor,FL,22,2.73,40.91,-0.3182,0.1364,-0.1818,-0.0455,-0.1818,-0.0909
Bay Pines Va Medical Center,Saint Petersburg,FL,39,2.69,41.03,-0.2308,-0.1026,-0.0769,-0.2308,-0.3333,0.0
BayCare Urgent Care,Clearwater,FL,23,1.87,21.74,-0.4783,-0.2174,-0.1739,-0.3913,-0.1304,-0.1304
BayCare Urgent Care,Largo,FL,29,3.17,55.17,0.2759,0.1724,-0.0345,0.1034,0.0345,0.069
BayCare Urgent Care,Saint Petersburg,FL,23,2.52,34.78,-0.3043,-0.1304,0.0,-0.2609,-0.1739,-0.0435
BayCare Urgent Care,Tampa,FL,31,2.68,38.71,-0.1935,-0.0323,-0.1613,-0.2581,-0.0968,-0.1935
Bayfront Health - St. Petersburg,Saint Petersburg,FL,43,3.51,60.47,0.2093,0.2326,0.0233,-0.0233,0.0,0.186
Bayside Urgent Care Center,Clearwater,FL,63,4.08,73.02,0.3492,0.4921,0.0159,0.0317,0.0794,0.1587
Bayview Radiology,Tampa,FL,20,3.75,70.0,0.05,0.4,-0.15,0.0,0.15,0.25
Be Bellus Wellness & Aesthetics,Tampa,FL,35,3.14,51.43,0.0286,0.1429,-0.0857,-0.0286,-0.0286,0.0571
Beau Chateau Day Spa,Reno,NV,27,4.37,85.19,0.0741,0.1852,0.0741,0.037,0.0741,0.1111
Beijing Foot Spa,Saint Louis,MO,34,3.88,70.59,0.1471,0.2353,0.2353,0.1176,-0.0294,0.1471
