business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score,stars_norm,sentiment_norm,reviews_norm,positive_aspects,negative_penalty,recommendation_score,recommendation_percentile,evidence_strength,doctor_vs_peer,staff_vs_peer,billing_vs_peer,wait_vs_peer,communication_vs_peer,cleanliness_vs_peer,stars_vs_peer,positive_ratio_vs_peer
"Jeffrey Miller, DPM, DABPS",Norristown,PA,21,4.95,100.0,0.5238,0.4286,0.0476,0.1429,0.4762,0.2857,0.9874999997531252,1.0,0.0017064846416353,0.428575,0.09525,62.27,98.61,Low,0.4501,0.2327,0.066,0.1406,0.4716,0.1955,1.3626,36.6531
Soni Smiles General and Implant Dentistry,Clearwater,FL,20,4.95,100.0,0.45,0.85,0.25,0.55,0.4,0.6,0.9874999997531252,1.0,0.0,0.5750000000000001,0.4,62.12,98.48,Low,0.3763,0.6541,0.2684,0.5477,0.3954,0.5098,1.3626,36.6531
Health Grad Advantage,Philadelphia,PA,42,5.0,100.0,0.4286,0.4762,0.0952,0.119,0.5476,0.0476,0.99999999975,1.0,0.0375426621159768,0.375,0.1071,61.99,98.44,Medium,0.3549,0.2803,0.1136,0.1167,0.543,-0.0426,1.4126,36.6531
Westside Chiropractic,Reno,NV,22,4.95,100.0,0.3182,0.8182,0.0909,0.2727,0.2273,0.4545,0.9874999997531252,1.0,0.0034129692832706,0.45455,0.1818,61.95,98.39,Low,0.2445,0.6223,0.1093,0.2704,0.2227,0.3643,1.3626,36.6531
Infinity Laser Hair Removal & Skin Rejuvenation,Clayton,MO,41,4.95,100.0,0.4878,0.6341,0.2683,0.2927,0.2927,0.4878,0.9874999997531252,1.0,0.0358361774743415,0.4756,0.2804999999999999,61.87,98.28,Medium,0.4141,0.4382,0.2867,0.2904,0.2881,0.3976,1.3626,36.6531
"Walter C Dukes, DDS",Santa Barbara,CA,32,5.0,100.0,0.1562,0.6875,0.1562,0.2188,0.2188,0.625,0.99999999975,1.0,0.0204778156996237,0.421875,0.1875,61.87,98.28,Low,0.0825,0.4916,0.1746,0.2165,0.2142,0.5348,1.4126,36.6531
Traders Point Dental,Indianapolis,IN,62,4.85,96.77,0.3226,0.7419,0.1613,0.2742,0.2742,0.629,0.962499999759375,0.9677,0.0716723549486831,0.491925,0.21775,61.8,98.22,Medium,0.2489,0.546,0.1797,0.2719,0.2696,0.5388,1.2626,33.4231
Southwest Kids Dentistry,Tucson,AZ,42,4.79,95.24,0.3095,0.8095,0.0476,0.119,0.1667,0.6667,0.947499999763125,0.9524,0.0375426621159768,0.4881,0.0833,61.73,98.13,Medium,0.2358,0.6136,0.066,0.1167,0.1621,0.5765,1.2026,31.8931
The Movement Chiropractic & Manual Medicine,Franklin,TN,99,4.96,98.99,0.4949,0.2626,0.0202,0.1111,0.2525,0.1717,0.9899999997525,0.9899,0.1348122866891897,0.295425,0.06565,61.72,98.09,Medium,0.4212,0.0667,0.0386,0.1088,0.2479,0.0815,1.3726,35.6431
White & Grube Orthodontist,Santa Barbara,CA,37,5.0,100.0,0.3514,0.6486,0.2162,0.2162,0.1622,0.5135,0.99999999975,1.0,0.0290102389078003,0.418925,0.2162,61.65,97.96,Low,0.2777,0.4527,0.2346,0.2139,0.1576,0.4233,1.4126,36.6531
Hillside Dental,Tucson,AZ,23,4.83,95.65,0.4348,0.6957,0.0435,0.0435,0.3043,0.4348,0.957499999760625,0.9565,0.0051194539249059,0.4674,0.0435,61.63,97.92,Low,0.3611,0.4998,0.0619,0.0412,0.2997,0.3446,1.2426,32.3031
Santa Barbara Center for Oral & Maxillofacial Surgery,Santa Barbara,CA,32,4.94,96.88,0.3125,0.7188,0.0938,0.0625,0.2188,0.4062,0.98499999975375,0.9688,0.0204778156996237,0.4140749999999999,0.07815,61.58,97.87,Low,0.2388,0.5229,0.1122,0.0602,0.2142,0.316,1.3526,33.5331
12 South Dental Studio,Nashville,TN,20,4.85,95.0,0.45,0.5,0.1,0.05,0.2,0.75,0.962499999759375,0.95,0.0,0.475,0.075,61.37,97.79,Low,0.3763,0.3041,0.1184,0.0477,0.1954,0.6598,1.2626,31.6531
Skin Care by Erica,Reno,NV,26,5.0,100.0,0.3846,0.5385,0.0385,0.1154,0.1923,0.2692,0.99999999975,1.0,0.0102389078498118,0.3461499999999999,0.07695,61.31,97.74,Low,0.3109,0.3426,0.0569,0.1131,0.1877,0.179,1.4126,36.6531
Center City Orthodontics,Philadelphia,PA,39,4.85,92.31,0.5641,0.6667,0.2051,0.2308,0.359,0.6154,0.962499999759375,0.9231,0.0324232081910709,0.5512999999999999,0.21795,61.29,97.7,Low,0.4904,0.4708,0.2235,0.2285,0.3544,0.5252,1.2626,28.9631
AlignLife - Chiropractic & Natural Health Center,Reno,NV,33,4.82,96.97,0.3636,0.6667,0.0606,0.1515,0.2424,0.5455,0.95499999976125,0.9697,0.022184300341259,0.45455,0.10605,61.26,97.63,Low,0.2899,0.4708,0.079,0.1492,0.2378,0.4553,1.2326,33.6231
Alki Art & Wellness Institute,Santa Barbara,CA,38,5.0,100.0,0.5,0.2632,0.1053,0.1316,0.3421,0.2895,0.99999999975,1.0,0.0307167235494356,0.3487,0.11845,61.25,97.57,Low,0.4263,0.0673,0.1237,0.1293,0.3375,0.1993,1.4126,36.6531
"Trevor Denny, DDS",Santa Barbara,CA,82,4.79,93.9,0.2561,0.7317,0.0732,0.1341,0.2073,0.5488,0.947499999763125,0.939,0.1058020477813894,0.435975,0.1036499999999999,61.17,97.52,Medium,0.1824,0.5358,0.0916,0.1318,0.2027,0.4586,1.2026,30.5531
AllVitae Health & Chiropractic,Tampa,FL,67,5.0,100.0,0.4179,0.2537,0.0746,0.0746,0.1642,0.2985,0.99999999975,1.0,0.0802047781568597,0.283575,0.0746,61.13,97.44,Medium,0.3442,0.0578,0.093,0.0723,0.1596,0.2083,1.4126,36.6531
Sonrisa Old City Dental,Philadelphia,PA,48,4.9,97.92,0.1875,0.6042,0.125,0.2292,0.2917,0.6042,0.97499999975625,0.9792,0.0477815699657887,0.4218999999999999,0.1770999999999999,61.11,97.37,Medium,0.1138,0.4083,0.1434,0.2269,0.2871,0.514,1.3126,34.5731
Corner Dentistry,Philadelphia,PA,41,4.8,95.12,0.1707,0.6098,0.0488,0.0732,0.439,0.561,0.9499999997625,0.9512,0.0358361774743415,0.445125,0.061,61.11,97.37,Medium,0.097,0.4139,0.0672,0.0709,0.4344,0.4708,1.2126,31.7731
Active Health Spine & Sport,Reno,NV,30,5.0,100.0,0.4,0.2667,0.1,0.2,0.3,0.5,0.99999999975,1.0,0.0170648464163531,0.366675,0.15,61.09,97.31,Low,0.3263,0.0708,0.1184,0.1977,0.2954,0.4098,1.4126,36.6531
"Dale Tylor, MD, MPH",Santa Barbara,CA,21,4.76,95.24,0.619,0.3333,0.0,0.1429,0.4762,0.5238,0.939999999765,0.9524,0.0017064846416353,0.488075,0.07145,61.08,97.26,Low,0.5453,0.1374,0.0184,0.1406,0.4716,0.4336,1.1726,31.8931
Norman Parathyroid Center,Town N Country,FL,132,4.74,93.18,0.6818,0.6212,0.2045,0.4015,0.4242,0.2348,0.93499999976625,0.9318,0.191126279863155,0.4904999999999999,0.303,60.99,97.22,High,0.6081,0.4253,0.2229,0.3992,0.4196,0.1446,1.1526,29.8331
Blanc Dental Studio,Philadelphia,PA,23,4.83,95.65,0.2609,0.7826,0.2609,0.1304,0.2174,0.7826,0.957499999760625,0.9565,0.0051194539249059,0.510875,0.19565,60.98,97.18,Low,0.1872,0.5867,0.2793,0.1281,0.2128,0.6924,1.2426,32.3031
Northwest Children's Dentistry,Tucson,AZ,21,4.71,95.24,0.2857,0.7619,0.0,0.2381,0.2857,0.7619,0.927499999768125,0.9524,0.0017064846416353,0.5238,0.11905,60.95,97.13,Low,0.212,0.566,0.0184,0.2358,0.2811,0.6717,1.1226,31.8931
"Barry Kusman, MD, FACS - Facial Artistry & Aesthetics",Tucson,AZ,24,4.83,95.83,0.625,0.6667,0.0,0.0,0.2083,0.125,0.957499999760625,0.9583,0.0068259385665412,0.40625,0.0,60.91,97.09,Low,0.5513,0.4708,0.0184,-0.0023,0.2037,0.0348,1.2426,32.4831
Rapid Recovery Hydration Solutions,Reno,CA,37,5.0,100.0,0.3243,0.5405,0.0,0.1081,0.1622,0.1622,0.99999999975,1.0,0.0290102389078003,0.2973,0.05405,60.84,97.05,Low,0.2506,0.3446,0.0184,0.1058,0.1576,0.072,1.4126,36.6531
Melodie Girard Aesthetics,Santa Barbara,CA,41,4.95,97.56,0.4878,0.2439,0.1463,0.1951,0.439,0.4146,0.9874999997531252,0.9756,0.0358361774743415,0.396325,0.1707,60.77,97.0,Medium,0.4141,0.048,0.1647,0.1928,0.4344,0.3244,1.3626,34.2131
Wolgin Endodontic Group,Philadelphia,PA,35,4.86,97.14,0.4286,0.8,0.2,0.2571,0.3143,0.3429,0.96499999975875,0.9714,0.0255972696245296,0.47145,0.22855,60.76,96.96,Low,0.3549,0.6041,0.2184,0.2548,0.3097,0.2527,1.2726,33.7931
Power Chiropractic and Wellness,Nashville,TN,22,4.82,95.45,0.5909,0.6364,0.0909,0.1364,0.2727,0.3636,0.95499999976125,0.9545,0.0034129692832706,0.4659,0.11365,60.75,96.92,Low,0.5172,0.4405,0.1093,0.1341,0.2681,0.2734,1.2326,32.1031
Wagner Chiropractic,Santa Barbara,CA,27,5.0,100.0,0.4444,0.5556,0.1481,0.1481,0.1481,0.2593,0.99999999975,1.0,0.0119453924914471,0.35185,0.1481,60.74,96.87,Low,0.3707,0.3597,0.1665,0.1458,0.1435,0.1691,1.4126,36.6531
Citrus Park Eyecare,Tampa,FL,23,4.74,95.65,0.7826,0.8261,0.1739,0.2174,0.1739,0.3478,0.93499999976625,0.9565,0.0051194539249059,0.5326,0.19565,60.73,96.81,Low,0.7089,0.6302,0.1923,0.2151,0.1693,0.2576,1.1526,32.3031
Organic Origins Spa,Boise,ID,25,5.0,100.0,0.2,0.76,0.08,0.16,0.16,0.24,0.99999999975,1.0,0.0085324232081765,0.3399999999999999,0.12,60.73,96.81,Low,0.1263,0.5641,0.0984,0.1577,0.1554,0.1498,1.4126,36.6531
"David Gardner, DMD - Rittenhouse Dentistry",Philadelphia,PA,51,4.82,96.08,0.2941,0.3137,0.2157,0.1961,0.5686,0.6863,0.95499999976125,0.9608,0.0529010238906947,0.4656749999999999,0.2059,60.72,96.74,Medium,0.2204,0.1178,0.2341,0.1938,0.564,0.5961,1.2326,32.7331
Spa Haus Nashville,Nashville,TN,168,4.82,96.43,0.2798,0.4405,0.1071,0.2202,0.1905,0.2381,0.95499999976125,0.9643,0.2525597269620263,0.287225,0.16365,60.65,96.68,High,0.2061,0.2446,0.1255,0.2179,0.1859,0.1479,1.2326,33.0831
Invista Optical,Indianapolis,IN,23,4.96,100.0,0.3913,0.4783,0.2174,0.1304,0.2609,0.3913,0.9899999997525,1.0,0.0051194539249059,0.38045,0.1739,60.65,96.68,Low,0.3176,0.2824,0.2358,0.1281,0.2563,0.3011,1.3726,36.6531
Urban Optics Optometric Center,Santa Barbara,CA,105,4.83,95.24,0.4,0.6095,0.2095,0.1143,0.2381,0.2571,0.957499999760625,0.9524,0.1450511945390016,0.376175,0.1619,60.62,96.61,High,0.3263,0.4136,0.2279,0.112,0.2335,0.1669,1.2426,31.8931
Mobile IV Medics: Santa Barbara,Santa Barbara,CA,52,4.92,98.08,0.3462,0.6538,0.0385,0.1538,0.3077,0.0577,0.979999999755,0.9808,0.05460750853233,0.34135,0.09615,60.6,96.57,Medium,0.2725,0.4579,0.0569,0.1515,0.3031,-0.0325,1.3326,34.7331
Allied Chiropractic and Wellness,Metairie,LA,26,4.85,96.15,0.6538,0.7308,0.0769,0.1538,0.1923,0.1538,0.962499999759375,0.9615,0.0102389078498118,0.432675,0.11535,60.57,96.53,Low,0.5801,0.5349,0.0953,0.1515,0.1877,0.0636,1.2626,32.8031
Cypress Dental,Reno,NV,29,4.83,96.55,0.3103,0.6207,0.069,0.1724,0.2759,0.5172,0.957499999760625,0.9655,0.0153583617747178,0.431025,0.1207,60.51,96.44,Low,0.2366,0.4248,0.0874,0.1701,0.2713,0.427,1.2426,33.2031
Ability Prosthetics & Orthotics,Reno,NV,21,5.0,100.0,0.3333,0.5714,0.0476,0.2381,0.3333,0.1429,0.99999999975,1.0,0.0017064846416353,0.345225,0.14285,60.5,96.35,Low,0.2596,0.3755,0.066,0.2358,0.3287,0.0527,1.4126,36.6531
North Tampa Spine & Joint Center,Tampa,FL,76,4.84,94.74,0.4737,0.5921,0.0921,0.2763,0.2237,0.3947,0.95999999976,0.9474,0.0955631399315775,0.42105,0.1842,60.5,96.35,Medium,0.4,0.3962,0.1105,0.274,0.2191,0.3045,1.2526,31.3931
"Dentistry in Paradise-Kevin Miller, DDS",Santa Barbara,CA,41,4.8,95.12,0.2439,0.7317,0.0488,0.2927,0.2927,0.6098,0.9499999997625,0.9512,0.0358361774743415,0.4695249999999999,0.17075,60.5,96.35,Medium,0.1702,0.5358,0.0672,0.2904,0.2881,0.5196,1.2126,31.7731
Optilife Chiropractic,Tampa,FL,31,4.81,93.55,0.8065,0.6129,0.129,0.2581,0.2258,0.3871,0.9524999997618748,0.9355,0.0187713310579884,0.508075,0.19355,60.47,96.27,Low,0.7328,0.417,0.1474,0.2558,0.2212,0.2969,1.2226,30.2031
Ochsner Urgent Care - French Quarter,New Orleans,LA,61,4.69,91.8,0.6393,0.7541,0.0492,0.2459,0.2295,0.4262,0.9224999997693752,0.918,0.0699658703070478,0.512275,0.14755,60.44,96.22,Medium,0.5656,0.5582,0.0676,0.2436,0.2249,0.336,1.1026,28.4531
Jackson Oral Surgery,Metairie,LA,25,4.72,92.0,0.36,0.64,0.0,0.24,0.68,0.44,0.9299999997675,0.92,0.0085324232081765,0.53,0.12,60.43,96.18,Low,0.2863,0.4441,0.0184,0.2377,0.6754,0.3498,1.1326,28.6531
Rescue Spa,Philadelphia,PA,518,4.29,81.27,0.2162,0.2587,0.0579,0.1873,0.1313,0.166,0.822499999794375,0.8127,0.849829351534386,0.19305,0.1226,60.37,96.14,High,0.1425,0.0628,0.0763,0.185,0.1267,0.0758,0.7026,17.9231
Reflexions,Indianapolis,IN,29,4.97,100.0,0.3793,0.3448,0.2069,0.2069,0.3448,0.4138,0.992499999751875,1.0,0.0153583617747178,0.370675,0.2069,60.35,96.09,Low,0.3056,0.1489,0.2253,0.2046,0.3402,0.3236,1.3826,36.6531
Jack City Fitness,Boise,ID,31,4.9,96.77,0.0645,0.5806,0.0323,0.1935,0.129,0.7742,0.97499999975625,0.9677,0.0187713310579884,0.387075,0.1129,60.34,96.03,Low,-0.0092,0.3847,0.0507,0.1912,0.1244,0.684,1.3126,33.4231
Erasable,Tampa,FL,85,4.69,92.94,0.5412,0.5647,0.0706,0.3176,0.4588,0.3765,0.9224999997693752,0.9294,0.1109215017062953,0.4853,0.1941,60.34,96.03,Medium,0.4675,0.3688,0.089,0.3153,0.4542,0.2863,1.1026,29.5931
"James Norman, MD",Town N Country,FL,24,4.92,95.83,0.7083,0.625,0.125,0.375,0.375,0.1667,0.979999999755,0.9583,0.0068259385665412,0.46875,0.25,60.33,95.94,Low,0.6346,0.4291,0.1434,0.3727,0.3704,0.0765,1.3326,32.4831
"Thomas Blake, DDS",Santa Barbara,CA,25,4.84,96.0,0.36,0.68,0.12,0.2,0.16,0.6,0.95999999976,0.96,0.0085324232081765,0.4499999999999999,0.16,60.33,95.94,Low,0.2863,0.4841,0.1384,0.1977,0.1554,0.5098,1.2526,32.6531
Sunny Smiles Dentistry for Children and Young Adults,Santa Barbara,CA,34,4.76,94.12,0.3824,0.6471,-0.0294,0.2647,0.2941,0.5882,0.939999999765,0.9412,0.0238907849828943,0.47795,0.13235,60.32,95.87,Low,0.3087,0.4512,-0.011,0.2624,0.2895,0.498,1.1726,30.7731
Thrive Chiropractic,Boise,ID,24,5.0,100.0,0.2917,0.5,0.0417,0.125,0.2083,0.2083,0.99999999975,1.0,0.0068259385665412,0.302075,0.08335,60.31,95.81,Low,0.218,0.3041,0.0601,0.1227,0.2037,0.1181,1.4126,36.6531
Young Chiropractic & Acupuncture Center,Saint Louis,MO,24,5.0,100.0,0.5417,0.25,0.1667,0.125,0.1667,0.375,0.99999999975,1.0,0.0068259385665412,0.33335,0.1458499999999999,60.31,95.81,Low,0.468,0.0541,0.1851,0.1227,0.1621,0.2848,1.4126,36.6531
Family Vision Center,Tucson,AZ,121,4.69,92.56,0.4876,0.6942,0.1901,0.1983,0.1901,0.3967,0.9224999997693752,0.9256,0.1723549488051666,0.44215,0.1941999999999999,60.3,95.74,High,0.4139,0.4983,0.2085,0.196,0.1855,0.3065,1.1026,29.2131
Premier Physical Therapy & Sports Performance,Reno,NV,20,4.9,95.0,0.45,0.7,0.0,0.2,0.2,0.3,0.97499999975625,0.95,0.0,0.4125,0.1,60.25,95.7,Low,0.3763,0.5041,0.0184,0.1977,0.1954,0.2098,1.3126,31.6531
Clearwater Dental Associates,Clearwater,FL,58,4.66,91.38,0.2931,0.6897,0.0517,0.1379,0.4655,0.5172,0.91499999977125,0.9138,0.0648464163821419,0.491375,0.0948,60.15,95.66,Medium,0.2194,0.4938,0.0701,0.1356,0.4609,0.427,1.0726,28.0331
Skin NV,Tampa,FL,76,4.8,94.74,0.4211,0.5658,0.0395,0.1316,0.2632,0.2237,0.9499999997625,0.9474,0.0955631399315775,0.3684499999999999,0.08555,60.13,95.51,Medium,0.3474,0.3699,0.0579,0.1293,0.2586,0.1335,1.2126,31.3931
About Face Skin Care,Philadelphia,PA,106,4.68,91.51,0.5943,0.5,0.066,0.1226,0.3679,0.217,0.91999999977,0.9151,0.1467576791806369,0.4198,0.0943,60.13,95.51,High,0.5206,0.3041,0.0844,0.1203,0.3633,0.1268,1.0926,28.1631
Summit Acupuncture Philadelphia,Philadelphia,PA,25,4.84,96.0,0.48,0.12,-0.04,0.0,0.48,0.36,0.95999999976,0.96,0.0085324232081765,0.36,0.0,60.13,95.51,Low,0.4063,-0.0759,-0.0216,-0.0023,0.4754,0.2698,1.2526,32.6531
Ringpfeil Advanced Dermatology,Philadelphia,PA,185,4.58,89.19,0.4432,0.5243,0.027,0.2054,0.2649,0.3514,0.89499999977625,0.8919,0.2815699658698267,0.39595,0.1162,60.13,95.51,High,0.3695,0.3284,0.0454,0.2031,0.2603,0.2612,0.9926,25.8431
Symmetry Acupuncture,Reno,NV,25,5.0,100.0,0.52,0.28,0.08,0.12,0.16,0.24,0.99999999975,1.0,0.0085324232081765,0.3,0.1,60.13,95.51,Low,0.4463,0.0841,0.0984,0.1177,0.1554,0.1498,1.4126,36.6531
"Adrian Lo, MD",Philadelphia,PA,24,4.67,91.67,0.5,0.75,0.0417,0.1667,0.5,0.375,0.917499999770625,0.9167,0.0068259385665412,0.53125,0.1041999999999999,60.13,95.51,Low,0.4263,0.5541,0.0601,0.1644,0.4954,0.2848,1.0826,28.3231
"Steven Rice, DDS",Philadelphia,PA,58,4.74,94.83,0.2586,0.7069,0.2414,0.2241,0.2931,0.6724,0.93499999976625,0.9483,0.0648464163821419,0.48275,0.23275,60.06,95.35,Medium,0.1849,0.511,0.2598,0.2218,0.2885,0.5822,1.1526,31.4831
Butwin Chiropractic,Carmel,IN,22,5.0,100.0,0.3636,0.3182,0.0909,0.0909,0.3636,0.1364,0.99999999975,1.0,0.0034129692832706,0.29545,0.0909,60.05,95.31,Low,0.2899,0.1223,0.1093,0.0886,0.359,0.0462,1.4126,36.6531
61Five Health & Wellness,Nashville,TN,85,4.91,98.82,0.3882,0.4706,0.1294,0.2235,0.1882,0.1647,0.9774999997556252,0.9882,0.1109215017062953,0.302925,0.17645,59.99,95.2,Medium,0.3145,0.2747,0.1478,0.2212,0.1836,0.0745,1.3226,35.4731
